fixture_id,date,match_time,region_league,home_team,away_team,home_team_id,away_team_id,home_score,away_score,match_status,status,match_link,last_updated
UJry0kMM,07.02.2026,07.02.2026 01:00,MARTINIQUE: - Trophee Gerard Janvion,Franciscain,Club Colonial,0dgkOuls,rNh5HFBh,,,scheduled,,https://www.flashscore.com/match/football/club-colonial-0dgkOuls/franciscain-rNh5HFBh/?mid=UJry0kMM,2026-02-13T12:17:06.008518
84IHl3Ca,07.02.2026,07.02.2026 02:00,Unknown,Tepatitlan de Morelos,Correcaminos,2ugBHosE,IT36ygAH,2,1,finished,,https://www.flashscore.com/match/football/correcaminos-2ugBHosE/tepatitlan-de-morelos-IT36ygAH/?mid=84IHl3Ca,2026-02-13T12:17:10.487300
4WBQnssC,07.02.2026,07.02.2026 02:00,Unknown,Venados,Alebrijes Oaxaca,SpOmxEoR,bXXGgrk7,3,3,finished,,https://www.flashscore.com/match/football/alebrijes-de-oaxaca-SpOmxEoR/venados-fc-bXXGgrk7/?mid=4WBQnssC,2026-02-13T12:17:10.776502
0viK3XMc,07.02.2026,07.02.2026 01:00,MARTINIQUE: - Trophee Gerard Janvion,Golden Lion,Morne des Esses,zJiQpKic,W27yf4QG,,,scheduled,,https://www.flashscore.com/match/football/golden-lion-zJiQpKic/morne-des-esses-W27yf4QG/?mid=0viK3XMc,2026-02-13T12:17:06.565425
buCsL9SP,07.02.2026,07.02.2026 02:00,NORTH & CENTRAL AMERICA: - World Cup U17 - Qualification,El Salvador U17,Belize U17,Or0HiKbh,80nz5t77,,,scheduled,,https://www.flashscore.com/match/football/belize-Or0HiKbh/el-salvador-80nz5t77/?mid=buCsL9SP,2026-02-13T12:17:10.847530
vD2xAqKO,07.02.2026,07.02.2026 02:00,NORTH & CENTRAL AMERICA: - World Cup U17 - Qualification,Honduras U17,Suriname U17,KK3uaVTf,SrNHLvAc,,,scheduled,,https://www.flashscore.com/match/football/honduras-KK3uaVTf/suriname-SrNHLvAc/?mid=vD2xAqKO,2026-02-13T12:17:10.941963
b1qBAOn2,07.02.2026,07.02.2026 02:06,MEXICO: - Liga MX Women - Clausura,Pachuca W,Mazatlan FC W,4AbEbdag,pAYgm4Ei,,,scheduled,,https://www.flashscore.com/match/football/mazatlan-fc-4AbEbdag/pachuca-pAYgm4Ei/?mid=b1qBAOn2,2026-02-13T12:17:10.993221
E11vSQcC,07.02.2026,07.02.2026 02:30,COLOMBIA: - Primera A - Apertura,Ind. Medellin,Inter Bogotá,p2ADRKlk,KK2QOIY7,,,scheduled,,https://www.flashscore.com/match/football/ind-medellin-p2ADRKlk/inter-bogota-KK2QOIY7/?mid=E11vSQcC,2026-02-13T12:17:12.147984
0tYmGoFt,07.02.2026,07.02.2026 02:30,Unknown,San Francisco,Independiente,hjzxSMAK,COo0iase,0,3,finished,,https://www.flashscore.com/match/football/independiente-hjzxSMAK/san-francisco-COo0iase/?mid=0tYmGoFt,2026-02-13T12:17:12.290225
KbthNvJc,07.02.2026,07.02.2026 03:00,Unknown,Liberia,Puntarenas FC,jgPa69ID,bqElF1MD,1,4,finished,,https://www.flashscore.com/match/football/liberia-jgPa69ID/puntarenas-fc-bqElF1MD/?mid=KbthNvJc,2026-02-13T12:17:12.570981
